KLVR Charger Detection Monitor - Started 2025-08-26 15:42:59
Monitoring: http://10.110.73.155:8000
============================================================

#  1 15:43:04 | ❌ Connection failed
#  2 15:43:09 | ❌ Connection failed
#  3 15:43:10 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  4 15:43:11 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  5 15:43:12 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  6 15:43:12 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  7 15:43:13 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  8 15:43:14 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  9 15:43:15 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 10 15:43:15 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 11 15:43:16 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1530mV | Δ=   0mV | Cycle=2
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1528mV | AAA_OFF=1542mV | Δ= -14mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1564mV | Δ= -14mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1580mV | Δ= -12mV | Cycle=3
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 21: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1550mV | Δ= -12mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1576mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1580mV | Δ=   0mV | Cycle=3
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1578mV | Δ=   0mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1584mV | Δ=   4mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   8mV | Cycle=3
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1536mV | Δ=   0mV | Cycle=3
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=3
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1542mV | Δ= -22mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1550mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1516mV | AAA_OFF=1562mV | Δ= -46mV | Cycle=2
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV | Cycle=2
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1576mV | Δ= -34mV | Cycle=2
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1514mV | Δ=  38mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1566mV | Δ=   8mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=2
#102 15:44:24 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#103 15:44:24 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#104 15:44:25 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#105 15:44:26 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#106 15:44:27 | [AA TEST] Total: 36 | Correct AA: 36 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 48 → 36
#107 15:44:27 | [AA TEST] Total:  0 | Correct AA:  0 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 36 → 0
#108 15:44:28 | [AA TEST] Total:  0 | Correct AA:  0 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#109 15:44:29 | [AA TEST] Total:  0 | Correct AA:  0 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#110 15:44:30 | [AA TEST] Total:  0 | Correct AA:  0 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#111 15:44:30 | [AA TEST] Total:  0 | Correct AA:  0 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#112 15:44:31 | [AA TEST] Total:  0 | Correct AA:  0 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#113 15:44:32 | [AA TEST] Total:  0 | Correct AA:  0 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#114 15:44:33 | [AA TEST] Total:  0 | Correct AA:  0 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#115 15:44:34 | [AA TEST] Total:  0 | Correct AA:  0 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#116 15:44:34 | [AA TEST] Total:  0 | Correct AA:  0 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#117 15:44:35 | [AA TEST] Total:  0 | Correct AA:  0 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#118 15:44:36 | [AA TEST] Total:  0 | Correct AA:  0 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#119 15:44:37 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 0 → 4
#120 15:44:37 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 4 → 47
#121 15:44:38 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1598mV | Δ= -40mV | Cycle=2
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1568mV | Δ= -36mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=1
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1572mV | Δ= -20mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1564mV | Δ= -16mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1566mV | Δ=  -2mV | Cycle=1
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1572mV | Δ= -28mV | Cycle=3
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=3
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1578mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1542mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1568mV | Δ= -16mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1552mV | Δ=  -6mV | Cycle=1
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1552mV | Δ=  14mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1548mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=1
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1580mV | Δ= -14mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1552mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1570mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1566mV | Δ= -12mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1524mV | Δ=  24mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1586mV | AAA_OFF=1584mV | Δ=   2mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1586mV | Δ=  -6mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1566mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1560mV | Δ=  14mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1556mV | Δ=  12mV | Cycle=1
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1514mV | Δ=  26mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1574mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   2mV | Cycle=1
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1532mV | Δ=  18mV | Cycle=2
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1538mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1530mV | Δ=  12mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1564mV | Δ=  -6mV | Cycle=3
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1540mV | Δ=  36mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=2
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1560mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1560mV | Δ= -14mV | Cycle=3
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1540mV | Δ=   2mV | Cycle=1
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1568mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1578mV | Δ=  -8mV | Cycle=3
#122 15:44:39 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#123 15:44:40 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#124 15:44:40 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#125 15:44:41 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#126 15:44:42 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#127 15:44:43 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#128 15:44:43 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#129 15:44:44 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#130 15:44:45 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#131 15:44:45 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1598mV | Δ= -40mV | Cycle=2
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1568mV | Δ= -36mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=1
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1572mV | Δ= -20mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1564mV | Δ= -16mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1566mV | Δ=  -2mV | Cycle=1
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1572mV | Δ= -28mV | Cycle=3
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=3
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1578mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1542mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1568mV | Δ= -16mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1552mV | Δ=  -6mV | Cycle=1
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1552mV | Δ=  14mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1548mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=1
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1580mV | Δ= -14mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1552mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1570mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1566mV | Δ= -12mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1524mV | Δ=  24mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1586mV | AAA_OFF=1584mV | Δ=   2mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1586mV | Δ=  -6mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1566mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1560mV | Δ=  14mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1556mV | Δ=  12mV | Cycle=1
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1514mV | Δ=  26mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1574mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   2mV | Cycle=1
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1532mV | Δ=  18mV | Cycle=2
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1538mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1530mV | Δ=  12mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1564mV | Δ=  -6mV | Cycle=3
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1540mV | Δ=  36mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=2
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1560mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1560mV | Δ= -14mV | Cycle=3
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1540mV | Δ=   2mV | Cycle=1
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1568mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1578mV | Δ=  -8mV | Cycle=3
#132 15:44:46 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#133 15:44:47 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#134 15:44:48 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#135 15:44:48 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#136 15:44:49 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#137 15:44:50 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#138 15:44:51 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#139 15:44:51 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#140 15:44:52 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#141 15:44:53 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1598mV | Δ= -40mV | Cycle=2
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1568mV | Δ= -36mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=1
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1572mV | Δ= -20mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1572mV | Δ= -28mV | Cycle=3
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=3
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1578mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1542mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1552mV | Δ=  -6mV | Cycle=1
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1552mV | Δ=  14mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1580mV | Δ= -14mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1552mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1566mV | Δ= -12mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1586mV | AAA_OFF=1584mV | Δ=   2mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1586mV | Δ=  -6mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1560mV | Δ=  14mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1556mV | Δ=  12mV | Cycle=1
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1514mV | Δ=  26mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   2mV | Cycle=1
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1532mV | Δ=  18mV | Cycle=2
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1538mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1564mV | Δ=  -6mV | Cycle=3
